Import values for the addon PAWN,...2,...3,...4,...5
Frost,"( Pawn: v1: ""Mage Frost"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Warlock,NA,NA,NA,NA
Affliction,"( Pawn: v1: ""Warlock Affliction"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, ShadowSpellDamage= SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Demonology,"( Pawn: v1: ""Warlock Demonology"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, ShadowSpellDamage= SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Destruction,"( Pawn: v1: ""Warlock Destruction"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, ShadowSpellDamage= SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Warrior,NA,NA,NA,NA
Arms,"( Pawn: v1: ""Warrior Arms"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Fury,"( Pawn: v1: ""Warrior Fury"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Protection,"( Pawn: v1: ""Warrior Prot"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Priest,NA,NA,NA,NA
Disc,"( Pawn: v1: ""Priest Disc"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Holy,"( Pawn: v1: ""Priest Holy"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Shadow,"( Pawn: v1: ""Priest Shadow"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Paladin,NA,NA,NA,NA
Holy,"( Pawn: v1: ""Paladin Holy"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Protection,"( Pawn: v1: ""Paladin Prot"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Retribution,"( Pawn: v1: ""Paladin Ret"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Shaman,NA,NA,NA,NA
Elemental,"( Pawn: v1: ""Shaman Ele"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Enhance,"( Pawn: v1: ""Shaman Enh"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Restoration,"( Pawn: v1: ""Shaman Resto"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Druid,NA,NA,NA,NA
Owl,"( Pawn: v1: ""Druid Owl"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Bear,"( Pawn: v1: ""Druid Bear"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Cat,"( Pawn: v1: ""Druid Cat"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Tree,"( Pawn: v1: ""Druid Tree"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=, Armor=, )",NA,NA,NA
Rogue,NA,NA,NA,NA
Assassination,"( Pawn: v1: ""Rogue Assassination"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Sword,"( Pawn: v1: ""Rogue Swords"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
F/S,"( Pawn: v1: ""Rogue F/S"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Fist,"( Pawn: v1: ""Rogue Fist"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Dagger,"( Pawn: v1: ""Rogue Dagger"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Sub,"( Pawn: v1: ""Rogue Sub"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=, RangedDps=0, Armor=, )",NA,NA,NA
Hunter,NA,NA,NA,NA
Beast Master,"( Pawn: v1: ""Hunter Beast Master"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=0, RangedDps=, Armor=, )",NA,NA,NA
Marks,"( Pawn: v1: ""Hunter Marks"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=0, RangedDps=, Armor=, )",NA,NA,NA
Survival,"( Pawn: v1: ""Hunter Survival"" : Stamina=, Intellect=, Agility=, Strength=, Spirit=, Ap=, Rap=, FeralAp=, ArmorPenetration=, SpellDamage=, FireSpellDamage=, FrostSpellDamage=, ArcaneSpellDamage=, ShadowSpellDamage=, NatureSpellDamage=, HolySpellDamage=, SpellPower=, Healing=, CritRating=, SpellCritRating=, HasteRating=, SpellHasteRating=, HitRating=, SpellHitRating=, ExpertiseRating=, Mp5=, ResilienceRating=, DodgeRating=, ParryRating=, DefenseRating=, BlockValue=, BlockRating=, MetaSocket=, RedSocket=, YellowSocket=, BlueSocket=, MeleeDps=0, RangedDps=, Armor=, )",NA,NA,NA
