1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
31201,Back,Armor,Cloth,Illidari Cloak of Wrath,103,66,Rare,https://tbc.wowhead.com/item=31201,NA,0,0,0,0,0,47,0,0,0,47,0,0,46.154,56.87,47,47,32.9,13.0472,0,47,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,NA,World Drop,1,NA,NA
25041,Back,Armor,Cloth,Ambusher's Cloak of Wrath,114,68,Uncommon,https://tbc.wowhead.com/item=25041,NA,0,0,0,0,0,42,0,0,0,42,0,0,41.244,50.82,42,42,29.4,11.6592,0,42,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,NA,World Drop,1,NA,NA
29400,Back,Armor,Cloth,Abyssal Shroud,93,0,Uncommon,https://tbc.wowhead.com/item=29400,NA,11.08,0,0,0,3,0,0,0,0,0,0,18.1583,0,0,0,0,17.31,0,0,0,0,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,58,NA,NA,NA,NA,NA,From the Abyss,0,NA,NA
29777,Back,Armor,Cloth,Cloak of the Valiant Defender,108,0,Uncommon,https://tbc.wowhead.com/item=29777,NA,23.32,0,0,0,4.2,0,0,0,0,0,0,42.746625,0,0,0,0,38,0,0,0,0,0,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NA,NA,NA,262,NA,NA,NA,NA,NA,Ar'kelos the Guardian,0,NA,NA
29792,Back,Armor,Cloth,Dawnstrike's Cloak,111,0,Uncommon,https://tbc.wowhead.com/item=29792,NA,9.705,33.333,26.82,89.28,0,0,40.929,33.354,0,0,104.5743,32.00805,0,0,0,0,10.47,32.0472,0,0,74.94,0,NULL,NULL,12,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,69,NA,NA,NA,NA,NA,Down With Daellis,0,NA,NA
30338,Back,Armor,Cloth,Diviner's Cloak,114,0,Uncommon,https://tbc.wowhead.com/item=30338,NA,9.8,0,0,0,22.05,0.93,0,0,18.6,8.6,0,15.3517,16.685,7.95,2.75,3.9,16.7,0.066,54.5,2.7,0,52.8,13,15,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,70,NA,NA,NA,NA,NA,The Horrors of Pollution,0,NA,NA
30971,Back,Armor,Cloth,Torn-heart Cloak,114,0,Uncommon,https://tbc.wowhead.com/item=30971,NA,9.8,0,0,0,8.84,27.744,0,0,3.6,31.56,0,15.3517,37.23,39.03,28.32,28.92,35.3,7.548,13.2,29.16,0,6.24,13,12,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,0,NA,NA
31341,Back,Armor,Cloth,Wyrmcultist's Cloak,108,0,Uncommon,https://tbc.wowhead.com/item=31341,NA,10.47,0,0,0,2.8,0,0,0,0,0,0,15.690575,0,0,0,0,15.95,0,0,0,0,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,67,NA,NA,NA,NA,NA,Wyrmcult Provisioner,0,NA,NA
31768,Back,Armor,Cloth,Deep Mire Cloak,90,0,Uncommon,https://tbc.wowhead.com/item=31768,NA,0.56,0,0,0,6.96,16.898,0,0,3.6,25.76,0,5.6238,31.244,34.652,20.24,23,13.8,4.112,23.4,23.96,0,15.72,NULL,12,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,56,NA,NA,NA,NA,NA,Jyoba's Report,0,NA,NA
31792,Back,Armor,Cloth,Evergrove Ranger's Cloak,108,0,Uncommon,https://tbc.wowhead.com/item=31792,NA,5.51,19.941,16.19,52.04,11.24,0.744,26.114,19.346,8.6,7.46,62.2196,23.135075,14.006,6.36,2.42,3.42,9.71,15.493,23.2,2.16,46.88,16.24,NULL,12,12,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,67,NA,NA,NA,NA,NA,You're Fired!,0,NA,NA
23050,Back,Armor,Cloth,Cloak of the Necropolis,90,60,Epic,https://tbc.wowhead.com/item=23050,NA,9.17,0,0,0,8.96,35.3486,0,0,3.3,48.18,0,15.414525,51.265,62.534,44.55,47.54,33.95,7.4676,24,41.08,0,16.78,12,11,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,14,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,77,NA,NA,NA,NA,Naxxramas,Sapphiron,1,NA,NA
24150,Back,Armor,Cloth,Mok'Nathal Wildercloak,85,60,Rare,https://tbc.wowhead.com/item=24150,NA,15.29,0,0,0,4.2,0,0,0,0,0,0,19.368225,0,0,0,0,21.85,0,0,0,0,0,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,59,NA,NA,NA,NA,Hellfire Ramparts,Vazruden and Nazan,1,NA,NA
24252,Back,Armor,Cloth,Cloak of the Black Void,112,69,Rare,https://tbc.wowhead.com/item=24252,NA,0.76,0,0,0,5.72,35.682,0,0,3.3,39.18,0,7.6323,44.193,48.18,36.21,36.76,29.4,9.7644,12.1,36.98,0,5.72,NULL,11,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24253,Back,Armor,Cloth,Cloak of Eternity,112,69,Rare,https://tbc.wowhead.com/item=24253,NA,35.16,0,0,0,7.2,0,0,0,0,0,0,35.265625,0,0,0,0,45.4,0,0,0,0,0,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24254,Back,Armor,Cloth,White Remedy Cape,112,69,Rare,https://tbc.wowhead.com/item=24254,NA,0.76,0,0,0,18.21,0,0,0,22.34,4.06,0,7.6323,4.606,0,1.54,2.1,3.8,0,61.2,0,0,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24258,Back,Armor,Cloth,Resolute Cape,105,70,Epic,https://tbc.wowhead.com/item=24258,NA,24.49,0,0,0,6,0,0,0,0,0,0,54.252825,0,0,0,0,44.45,0,0,0,0,0,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,349,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24259,Back,Armor,Cloth,Vengeance Wrap,105,70,Epic,https://tbc.wowhead.com/item=24259,NA,14.19,52.794,44.53,110.23,3.42,9,53.732,40.658,5.72,9,119.4417,42.8096,8.838,10.89,9,10.76,19.12,38.6749,14.4,9,113.31,18,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red,NA,NA,89,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24260,Back,Armor,Cloth,Manaweave Cloak,105,70,Epic,https://tbc.wowhead.com/item=24260,NA,0.89,0,0,0,31.21,3.55,0,0,23.45,19.38,0,8.937825,36.774,10.6,6.06,7.7,6.45,0.088,40.1,3.6,0,26.4,NULL,20,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,89,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA
24362,Back,Armor,Cloth,Spore-Soaked Vaneer,91,62,Rare,https://tbc.wowhead.com/item=24362,NA,11.13,0,0,0,11.46,21.9045,0,0,4.5,31.3,0,15.929025,38.268,41.346,25.16,27.89,31.45,5.4988,25.85,28.85,0,16.49,15,15,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,63,NA,NA,NA,NA,Slave Pens,Quagmirran,1,NA,NA
24379,Back,Armor,Cloth,Bogstrok Scale Cloak,91,62,Rare,https://tbc.wowhead.com/item=24379,NA,24.51,0,0,0,4.4,0,0,0,0,0,0,44.490075,0,0,0,0,39.75,0,0,0,0,0,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NA,NA,NA,271,NA,NA,NA,NA,Slave Pens,Rokmar the Crackler,1,NA,NA
24454,Back,Armor,Cloth,Cloak of Enduring Swiftness,94,63,Rare,https://tbc.wowhead.com/item=24454,NA,25.93,8.124,6.96,26.04,2.6,0,12.672,11.208,0,0,36.2196,29.490925,0,0,0,0,32.3,7.6272,0,0,20.88,0,13,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NA,NA,NA,64,NA,NA,NA,NA,Underbog,Swamplord Musel'ek,1,NA,NA
24459,Back,Armor,Cloth,Cloak of Healing Rays,94,63,Rare,https://tbc.wowhead.com/item=24459,NA,9.04,0,0,0,24.58,2.456,0,0,19.23,10.04,0,14.109,21.359,6.89,2.93,3.58,15.3,0.0572,42.2,2.34,0,39.76,12,13,NULL,NULL,15,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,64,NA,NA,NA,NA,Underbog,Ghaz'an,1,NA,NA
25540,Back,Armor,Cloth,Dark Cloak of the Marsh,94,0,Rare,https://tbc.wowhead.com/item=25540,NA,23.66,24.467,19.93,64.72,4.8,0,32.406,24.334,0,0,78.2928,42.4996,0,0,0,0,31.4,19.1846,0,0,57.84,0,24,NULL,16,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,64,NA,NA,NA,NA,Zangarmarsh,Lost in Action,1,NA,NA
25712,Back,Armor,Cloth,Perfectly Balanced Cape,88,0,Rare,https://tbc.wowhead.com/item=25712,NA,21.935,23.79,19.35,62.55,4.4,0,31.35,23.4,0,0,75.2745,40.092475,0,0,0,0,29.15,18.549,0,0,56.1,0,22,NULL,15,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,61,NA,NA,NA,NA,Hellfire Peninsula,Heart of Rage,1,NA,NA
25777,Back,Armor,Cloth,Ogre Slayer's Cover,100,0,Rare,https://tbc.wowhead.com/item=25777,NA,0.68,0,0,0,17.03,25.198,0,0,10.35,40.18,0,6.8289,51.904,48.876,29.64,33.42,19.2,5.8616,34.5,33.64,0,22,NULL,18,NULL,NULL,11,NULL,NULL,20,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,68,NA,NA,NA,NA,Nagrand,Cho'war the Pillager,1,NA,NA
25805,Back,Armor,Cloth,Mantle of Vivification,109,0,Rare,https://tbc.wowhead.com/item=25805,NA,0.74,0,0,0,23.96,1.116,0,0,22.8,10.9,0,7.43145,20.68,9.54,3.52,4.98,5.5,0.0792,65.8,3.24,0,63.36,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,74,NA,NA,NA,NA,Hellfire Peninsula,Turning the Tide,1,NA,NA
25810,Back,Armor,Cloth,Vicar's Cloak,109,0,Rare,https://tbc.wowhead.com/item=25810,NA,0.74,0,0,0,23.96,1.116,0,0,22.8,10.9,0,7.43145,20.68,9.54,3.52,4.98,5.5,0.0792,65.8,3.24,0,63.36,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,74,NA,NA,NA,NA,Hellfire Peninsula,The Will of the Warchief,1,NA,NA
25827,Back,Armor,Cloth,Muck-Covered Drape,97,64,Rare,https://tbc.wowhead.com/item=25827,NA,21.66,0,0,0,6,0,0,0,0,0,0,25.83255,0,0,0,0,30.3,0,0,0,0,0,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,66,NA,NA,NA,NA,Sporeggar,Honored,1,NA,NA
25945,Back,Armor,Cloth,Cloak of Revival,97,64,Rare,https://tbc.wowhead.com/item=25945,NA,11.16,0,0,0,21.97,0.992,0,0,17.9,8.4,0,16.2303,16.92,8.48,2.64,3.76,18.4,0.0704,53.6,2.88,0,51.32,15,16,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,66,NA,NA,NA,NA,Mana-Tombs,Tavarok,1,NA,NA
27423,Back,Armor,Cloth,Cloak of Impulsiveness,103,66,Rare,https://tbc.wowhead.com/item=27423,NA,21.31,30.366,24.64,79.06,3.8,0,39.688,29.332,0,0,94.3294,44.0525,0,0,0,0,28.4,23.4608,0,0,71.32,0,19,NULL,18,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,70,NA,NA,NA,NA,Old Hillsbrad Foothills,Lieutenant Drake,1,NA,NA
27448,Back,Armor,Cloth,Cloak of the Everliving,115,70,Rare,https://tbc.wowhead.com/item=27448,NA,0.78,0,0,0,19.07,0,0,0,22.78,5.22,0,7.83315,5.922,0,1.98,2.7,3.9,0,60.4,0,0,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,78,NA,NA,NA,NA,Hellfire Ramparts,Watchkeeper Gargolmar,1,NA,NA
27485,Back,Armor,Cloth,Embroidered Cape of Mysteries,115,70,Rare,https://tbc.wowhead.com/item=27485,NA,13.38,0,0,0,14,26.24,0,0,6,32.6,0,19.35585,42.41,40.85,27.2,28.2,39.6,7.028,22,28.6,0,10.4,18,20,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,78,NA,NA,NA,NA,Blood Furnace,The Maker,1,NA,NA
27519,Back,Armor,Cloth,Cloak of Malice,112,68,Rare,https://tbc.wowhead.com/item=27519,NA,21.455,31.488,25.67,83.57,3.6,0,41.822,31.508,0,0,101.3843,45.99155,0,0,0,0,28.58,24.7666,0,0,74.54,0,18,NULL,21,NULL,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Shattered Halls,Grand Warlock Nethekurse,1,NA,NA
27550,Back,Armor,Cloth,Ironscale War Cloak,115,70,Rare,https://tbc.wowhead.com/item=27550,NA,39.18,0,0,0,5.2,0,0,0,0,0,0,24.47705,0,0,0,0,47.97,0,0,0,0,0,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,19,NA,NA,NA,78,NA,NA,NA,NA,Slave Pens,Rokmar the Crackler,1,NA,NA
27789,Back,Armor,Cloth,Cloak of Whispering Shells,112,68,Rare,https://tbc.wowhead.com/item=27789,NA,11.26,0,0,0,22.92,0.992,0,0,19.2,8.4,0,17.23455,16.92,8.48,2.64,3.76,18.9,0.0704,57.6,2.88,0,56.32,15,16,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Steamvault,Hydromancer Thespia,1,NA,NA
27804,Back,Armor,Cloth,Devilshark Cape,115,70,Rare,https://tbc.wowhead.com/item=27804,NA,48.58,0,0,0,4.4,0,0,0,0,0,0,29.69,0,0,0,0,51.2,0,0,0,0,0,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,20,29,NULL,NA,NA,NA,78,NA,NA,NA,NA,Steamvault,Warlord Kalithresh,1,NA,NA
27878,Back,Armor,Cloth,Auchenai Death Shroud,115,70,Rare,https://tbc.wowhead.com/item=27878,NA,23.88,38.077,30.83,108.67,3,0,46.811,42.278,0,0,131.0556,47.643775,0,0,0,0,25.76,42.639,0,0,84.88,0,15,NULL,15,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,78,NA,NA,NA,NA,Auchenai Crypts,Avatar of the Martyred,1,NA,NA
27892,Back,Armor,Cloth,Cloak of the Inciter,112,68,Rare,https://tbc.wowhead.com/item=27892,NA,20.56,41.075,33.67,98.18,3,0,41.542,37.162,0,0,110.736,41.6252,0,0,0,0,23.4,41.7684,0,0,86.9,0,15,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,18,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,76,NA,NA,NA,NA,Shadow Labyrinth,Blackheart the Inciter,1,NA,NA
27946,Back,Armor,Cloth,Avian Cloak of Feathers,115,68,Rare,https://tbc.wowhead.com/item=27946,NA,0.78,0,0,0,29.66,2.436,0,0,26.72,13.82,0,7.83315,27.164,9.54,4.28,5.58,5.7,0.0792,64.6,3.24,0,61.36,NULL,18,NULL,NULL,12,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,78,NA,NA,NA,NA,Sethekk Halls,Talon King Ikiss,1,NA,NA
27981,Back,Armor,Cloth,Sethekk Oracle Cloak,115,68,Rare,https://tbc.wowhead.com/item=27981,NA,13.38,0,0,0,12.96,32.3464,0,0,5.4,43.24,0,19.35585,49.678,54.16,41.38,42.16,37.3,6.1864,19.8,31.24,0,9.36,18,18,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,78,NA,NA,NA,NA,Sethekk Halls,Talon King Ikiss,1,NA,NA
27988,Back,Armor,Cloth,Burnoose of Shifting Ages,112,68,Rare,https://tbc.wowhead.com/item=27988,NA,37.56,0,0,0,3,0,0,0,0,0,0,36.4804,0,0,0,0,43.4,0,0,0,0,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,29,NULL,NA,NA,NA,216,NA,NA,NA,NA,Black Morass,Chrono Lord Deja,1,NA,NA
28030,Back,Armor,Cloth,Spell-slinger's Protector,97,0,Rare,https://tbc.wowhead.com/item=28030,NA,11.16,0,0,0,16.55,20.1915,0,0,8.25,32.18,0,16.2303,41.409,39.078,23.77,26.81,29.4,4.6904,27.35,26.97,0,17.55,15,14,NULL,NULL,9,NULL,NULL,16,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,66,NA,NA,NA,NA,Nagrand,Bring Me The Egg!,1,NA,NA
28031,Back,Armor,Cloth,Nomad's Woven Cloak,97,0,Rare,https://tbc.wowhead.com/item=28031,NA,25.765,32.318,26.19,76.46,4.2,0,24.235,26.076,0,0,112.0481,46.308525,0,0,0,0,28.036,36.1222,0,0,69.78,0,21,NULL,14,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,66,NA,NA,NA,NA,Nagrand,Bring Me The Egg!,1,NA,NA
